gpt_id,name,description
00nJMXesU,Pet coach pro,"Pet coach pro. Entrenador virtual de mascotas, brindo consejos sobre adiestramiento y cuidado."
00jP9KVEw,Immigration Law Counselor,Guidance on US immigration law and procedures.
00lh1ZR3F,Charforge,"D&amp;D 5e creator with visuals, lore, items, names, stats, and skills. By Brent Dingman. Sign up to chat"
00lzo2LAE,ChatGPT - ğŸ›ï¸ Retail Success Strategizer Bot,"Your AI retail consultant that offers data analysis, market trends, and customer insights to boost sales and optimize store performance!ğŸ“ˆğŸ›’"
00nT2RLy7,APEX IP,USPTO Office Action analyzer.
000ZZcavc,Squarespace GPT,Guides users in setting up and optimizing Squarespace websites.
001CsLlT2,Hotel Reviews Advisor,Insightful responder and advisor for hotel reviews
002wtQv3T,XRP EconoGuide,Your go-to expert on economic development via XRPL.
003CCwqIK,ğŸŒâœˆï¸ Smooth Move HR Assistant ğŸ“¦ğŸ ,"Your go-to AI for employee relocation! Handles logistics, housing, and local info to ensure a stress-free move. ğŸššğŸŒ"
006MA1VtJ,Santy Anno meaning?,"What is Santy Anno lyrics meaning? Santy Anno singerï¼šPd Traditional, J Bairdï¼Œalbumï¼šJefferson's Tree Of Liberty ï¼Œalbum_timeï¼š2008. Click The LINK For More â†“â†“â†“"
00Aky7ZqK,Ù…Ø§Ù…Ø§ Ù…Ù†Ù‰,Ù‚ØµØµ Ø§Ø·ÙØ§Ù„ Ù…ØµØ±ÙŠ
00BrPPhRQ,1950s Beauties,"1950s Beauties. Feeling nostalgic? Recreate model images of gorgeous women from the 1950s. Just describe the setting, and a beautiful &#39;50s woman will appear. By Vidar Brekke."
00F8M97Dr,â™ ï¸ Ultimate Blackjack Buddy â™ ï¸,"Your AI compadre for mastering Blackjack! It provides game strategy tips, odds calculations, and practice sessions. ğŸ¤–ğŸƒğŸ²"
00FPjsDVC,AmazonBedrock Expert,Guides on Amazon Bedrock setup and use
00Fu0d2Oz,Linux Cheat-Sheet Writer Mega Pro ++ Ultra,Gets to the point with terminal commands! Linux Cheat-Sheet Writer Mega Pro ++ Ultra
00GrDoGJY,Personality Quiz Creator,Designs in-depth personality quizzes with individual result and question images
00IyQZIpk,Make-Up And Faded Blue Jeans meaning?,What is Make-Up And Faded Blue Jeans lyrics meaning? Make-Up And Faded Blue Jeans singerï¼šMerle Haggardï¼Œalbumï¼šBack To The Barrooms ï¼Œalbum_timeï¼š1980. Click The LINK For More â†“â†“â†“
00LKpHpLd,GPT Icon Generator,Give me any GPT ideas - I make you a logo for it.
00M3go7mZ,Psychology Insight Analyzer,"Psychology data analysis expert that guides users through structured, step-by-step exploration of a CSV data set. The analysis is based on research questions."
00Nu0FoNA,NSF Proposal Partner,"I'm your assistant for writing NSF grant proposals. I am trained on past successful proposals. Your ideas are safe, our conversation will not be used by OpenAI to improve models."
00VXLLDtM,Engineering Manager Coach,"Engineering Manager Coach. Guiding engineering managers with insights on team dynamics, development, and evaluations. By FELIX LOPEZ LUIS."
00iRQtg57,ChatGPT - Lisp Logic Mastery,"Embark on a journey through ""Lisp Logic Mastery"" to unlock the secrets of functional programming! ğŸ¤–ğŸŒŸ Explore the elegance of Lisp, mastering recursion, pure functions, and sophisticated AI algorithms. ğŸ’¡ğŸš€"
00paOMcAr,Notes GPT,"Converts notes to Q&amp;A for downloadable, printable study material."
00r6b8k3d,æ–°é—»ç¿»è¯‘ç¥å™¨,Professional Simplified Chinese translator with a focus on news and current affairs.
00scYUCYv,Strat.GPT (briefs),"Your strategic co-pilot for brand and category research to help write better, faster, more inspiring briefs. To get started just say ""Hi"" or click the conversation starter below."
00t0o7SXk,STEM-GPT | Enhanced Tutor,In-depth tutor for complex and simple STEM queries with customizable learning paths
00y8F1eRb,Occult Investigator,"This expert in digital investigations specializes in the discovery of hidden truths about sects, paranormal, occult phenomena and secret organizations, while prioritizing confidentiality"
010coZiDD,Idea Forge GPT,"Idea Forge is a dynamic tool for developing and refining ideas through iterative cycles. The method involves identifying, reviewing, and adjusting ideas across five cycles, culminating in a comprehensive project plan with feasible and innovative solutions."
011Tcgb6v,Nature's Eyes,I create first-person view images from a creature's perspective.
0149YNwPn,Propaganda Critic,"Propaganda Critic. A guide for analyzing propaganda, based on historical and factual insights. By Althea Delwiche. Sign up to chat. Requires ChatGPT Plus."
017CSgWOv,Beautiful River Of Life meaning?,"What is Beautiful River Of Life lyrics meaning? Beautiful River Of Life singerï¼šTom Hall, Dixie Hallï¼Œalbumï¼šHome Grown ï¼Œalbum_timeï¼š1997. Click The LINK For More â†“â†“â†“"
019VRiMLt,Learning Assistant that will Help you with School,SchoolGPT - Your Interactive Learning Assistant
01H088N1z,Consultor SEO,Consultor de contenidos y estrategias SEO
01JXirDZD,Senpai&#39;s Code Mentor,<b>Senpai&#39;s</b> Code Mentor. C++ tutor specializing in quizzes and study guides up to OOP. By tapgpts.com. Sign up to<b> chat.</b> Requires ChatGPT Plus.
01Jqq4j9W,Virtual Landscape Architect,"Your digital horticulturist and landscape designer! ğŸŒ¼ I&#39;ll assist you in planning your garden, choosing plants, and creating a sustainable and beautiful outdoor space. ğŸ“ğŸŒ¿"
01K06LGiS,Cloud DevOps Advisor,"Expert DevOps advisor, formal and considerate."
01LgbTvoV,Tech Interview Coach,"Tech Interview Coach can guide you through sample interview questions, and provide feedback. By Dean L Dieker. Sign up to chat. Requires ChatGPT Plus. Upload your resume for the coach to review your resume and draft some sample interview questions and answers based on your experiences. No resume?"
01N0q38dA,TriviaGPT,Who will get the highest streak? By tapgpts.com. Sign up to chat
01NtKNYq3,English Odyssey,Your Odyssey to English Mastery! Unlock the secrets of language and unleash your potential.
01RaaRdl4,GPT Greetings Guru,"As a supreme expert in crafting cards and messages for various events and special occasions, effortlessly create impressive and thrilling greetings for Mother's Day, Father's Day, Valentine's Day, Christmas, New Year, anniversaries, retirements, and more. GPT Greetings Guru is powered by OpenAI."
01RhrwfEZ,G.PT Chef,Bilingual chef expert in Portuguese cuisine and recipes.
01Rhsk1Jw,Sustainability,"A guide on sustainable living and practices, encouraging a forward-looking approach."
01S887HA9,Documentos para Hospitales.,Especialista en redacciÃ³n y revisiÃ³n de documentos mÃ©dicos
01WKwsRqh,Elne,"Elne, votre amie intime, creatrice d'art et conseil pour tous."
01YBx8k1n,ãŠã§ã‹ã‘ã‚³ãƒ³ã‚·ã‚§ãƒ«,Event finder for today and tomorrow
01dbdydvn,Cooking for Dummies,Cooking for Dummies. Friendly and simple cooking guide with simple recipes. Trained on large data set of recipes. By Big Brain.
01gAMSGPu,Fast-DPS,By fast-dps.com. Sign up to chat. Requires ChatGPT Plus. Denied Party Screening.
01h5n84VX,Ancient Artifacts,"Unravel the tales of ancient civilizations, journeying through a historical labyrinth where myths and relics interlace with facts, legends, and fables, to reveal and unearth our past."
01jzTzRCX,AI Tools Ideas Generator for Aii.CX,"This chat generates ideas for embedded AI tools that can be seamlessly integrated into websites based on any platform, like WordPress, Wix, Shopify, and many others."
01kBwfsF9,AIç»˜ç”»æç¤ºè¯åˆ›é€ è€…,ä½ è¿˜åœ¨ä¸ºä¸ä¼šå†™aiç»˜ç”»æç¤ºè¯æ‹…å¿§å—ï¼Ÿå¿«æ¥è¯•è¯•aiç»˜ç”»æç¤ºè¯åˆ›é€ è€…å§